Model,Seed,Accuracy,Macro_F1,Weighted_F1,Inference_ms_per_sample
Gemma-2B,42,0.5882352941176471,0.3277777777777778,0.6676470588235295,1296.106170205509
Gemma-2B,123,0.6470588235294118,0.3333333333333333,0.6823529411764707,1440.010014702292
Qwen-2.5-1.5B,42,0.5294117647058824,0.25757575757575757,0.48841354723707664,1841.361256206737
Qwen-2.5-1.5B,123,0.5294117647058824,0.3595238095238095,0.561344537815126,1755.6401561288274
Qwen-2.5-1.5B,999,0.47058823529411764,0.24377104377104375,0.4962566844919787,1783.3767077502082
SmolLM2-360M,42,0.17647058823529413,0.0457516339869281,0.2091503267973856,1993.6967176549574
SmolLM2-360M,123,0.11764705882352941,0.03361344537815126,0.15126050420168066,1909.7214025609633
SmolLM2-360M,999,0.11764705882352941,0.03645833333333333,0.15196078431372548,1951.7572066363166
TinyLlama-1.1B,42,0.5882352941176471,0.396031746031746,0.6379084967320262,1311.7241298451142
TinyLlama-1.1B,123,0.7647058823529411,0.5341269841269841,0.7224089635854343,1373.5777630525477
TinyLlama-1.1B,999,0.5882352941176471,0.35714285714285715,0.5784313725490196,1371.3584647459143
