Model,Seed,Step,Loss
Gemma-2B,42,10,3.7009357452392577
Gemma-2B,42,20,1.8493440628051758
Gemma-2B,42,30,1.3659259796142578
Gemma-2B,42,40,1.0929474830627441
Gemma-2B,42,50,0.878790283203125
Gemma-2B,42,60,0.8247962951660156
Gemma-2B,42,70,0.7449169635772706
Gemma-2B,42,80,0.7343580722808838
Gemma-2B,42,90,0.5849805355072022
Gemma-2B,42,100,0.5518233776092529
Gemma-2B,42,110,0.5263580799102783
Gemma-2B,42,120,0.49663891792297366
Gemma-2B,42,130,0.485304594039917
Gemma-2B,42,140,0.4584601879119873
Gemma-2B,42,150,0.4263960838317871
Gemma-2B,42,160,0.40924992561340334
Gemma-2B,42,170,0.44571504592895506
Gemma-2B,42,180,0.46416172981262205
Gemma-2B,42,190,0.439223051071167
Gemma-2B,42,200,0.35353527069091795
Gemma-2B,42,210,0.40793590545654296
Gemma-2B,42,220,0.3852102518081665
Gemma-2B,42,230,0.33979177474975586
Gemma-2B,42,240,0.36873366832733157
Gemma-2B,42,250,0.35901153087615967
Gemma-2B,42,260,0.4238393306732178
Gemma-2B,42,270,0.4522895336151123
Gemma-2B,42,280,0.36235437393188474
Gemma-2B,42,290,0.3826289653778076
Gemma-2B,42,300,0.385892653465271
Gemma-2B,42,310,0.3897149324417114
Gemma-2B,123,10,3.7116989135742187
Gemma-2B,123,20,1.8925159454345704
Gemma-2B,123,30,1.2492851257324218
Gemma-2B,123,40,1.0024341583251952
Gemma-2B,123,50,0.8172514915466309
Gemma-2B,123,60,0.8471251487731933
Gemma-2B,123,70,0.7573323726654053
Gemma-2B,123,80,0.6497384548187256
Gemma-2B,123,90,0.6403813838958741
Gemma-2B,123,100,0.6034757614135742
Gemma-2B,123,110,0.5178625106811523
Gemma-2B,123,120,0.47897915840148925
Gemma-2B,123,130,0.5398453712463379
Gemma-2B,123,140,0.5115274429321289
Gemma-2B,123,150,0.4212648391723633
Gemma-2B,123,160,0.42401466369628904
Gemma-2B,123,170,0.4627410411834717
Gemma-2B,123,180,0.46313061714172366
Gemma-2B,123,190,0.5226296424865723
Gemma-2B,123,200,0.4759169101715088
Gemma-2B,123,210,0.38270840644836424
Gemma-2B,123,220,0.39500234127044676
Gemma-2B,123,230,0.4326163291931152
Gemma-2B,123,240,0.36284115314483645
Gemma-2B,123,250,0.3713420867919922
Gemma-2B,123,260,0.44061079025268557
Gemma-2B,123,270,0.3442945957183838
Gemma-2B,123,280,0.33909633159637453
Gemma-2B,123,290,0.34555420875549314
Gemma-2B,123,300,0.31807613372802734
Gemma-2B,123,310,0.3983264923095703
Qwen-2.5-1.5B,42,10,3.0019750595092773
Qwen-2.5-1.5B,42,20,1.9417915344238281
Qwen-2.5-1.5B,42,30,1.3542964935302735
Qwen-2.5-1.5B,42,40,1.1330254554748536
Qwen-2.5-1.5B,42,50,0.9009904861450195
Qwen-2.5-1.5B,42,60,0.8066811561584473
Qwen-2.5-1.5B,42,70,0.7411848545074463
Qwen-2.5-1.5B,42,80,0.7556774616241455
Qwen-2.5-1.5B,42,90,0.6021589279174805
Qwen-2.5-1.5B,42,100,0.5985793113708496
Qwen-2.5-1.5B,42,110,0.5632349491119385
Qwen-2.5-1.5B,42,120,0.5646989345550537
Qwen-2.5-1.5B,42,130,0.5630439281463623
Qwen-2.5-1.5B,42,140,0.518088436126709
Qwen-2.5-1.5B,42,150,0.5098089218139649
Qwen-2.5-1.5B,42,160,0.5064016819000244
Qwen-2.5-1.5B,42,170,0.5361291885375976
Qwen-2.5-1.5B,42,180,0.556682014465332
Qwen-2.5-1.5B,42,190,0.5006064414978028
Qwen-2.5-1.5B,42,200,0.43587551116943357
Qwen-2.5-1.5B,42,210,0.49538354873657225
Qwen-2.5-1.5B,42,220,0.45339117050170896
Qwen-2.5-1.5B,42,230,0.4238004684448242
Qwen-2.5-1.5B,42,240,0.4715010166168213
Qwen-2.5-1.5B,42,250,0.43688011169433594
Qwen-2.5-1.5B,42,260,0.5006045341491699
Qwen-2.5-1.5B,42,270,0.521838903427124
Qwen-2.5-1.5B,42,280,0.44951701164245605
Qwen-2.5-1.5B,42,290,0.473251485824585
Qwen-2.5-1.5B,42,300,0.46533851623535155
Qwen-2.5-1.5B,42,310,0.49466309547424314
Qwen-2.5-1.5B,123,10,3.012678337097168
Qwen-2.5-1.5B,123,20,1.9798194885253906
Qwen-2.5-1.5B,123,30,1.293777084350586
Qwen-2.5-1.5B,123,40,1.0698721885681153
Qwen-2.5-1.5B,123,50,0.8349233627319336
Qwen-2.5-1.5B,123,60,0.8227702140808105
Qwen-2.5-1.5B,123,70,0.7422418117523193
Qwen-2.5-1.5B,123,80,0.662783145904541
Qwen-2.5-1.5B,123,90,0.6851487636566163
Qwen-2.5-1.5B,123,100,0.6236907482147217
Qwen-2.5-1.5B,123,110,0.5683838844299316
Qwen-2.5-1.5B,123,120,0.5467291355133057
Qwen-2.5-1.5B,123,130,0.597318696975708
Qwen-2.5-1.5B,123,140,0.5839488506317139
Qwen-2.5-1.5B,123,150,0.49095726013183594
Qwen-2.5-1.5B,123,160,0.5133173942565918
Qwen-2.5-1.5B,123,170,0.5383527278900146
Qwen-2.5-1.5B,123,180,0.5451018333435058
Qwen-2.5-1.5B,123,190,0.5940427303314209
Qwen-2.5-1.5B,123,200,0.5542333126068115
Qwen-2.5-1.5B,123,210,0.47613019943237306
Qwen-2.5-1.5B,123,220,0.4745320796966553
Qwen-2.5-1.5B,123,230,0.5292978286743164
Qwen-2.5-1.5B,123,240,0.4472177028656006
Qwen-2.5-1.5B,123,250,0.4720195770263672
Qwen-2.5-1.5B,123,260,0.503821325302124
Qwen-2.5-1.5B,123,270,0.44918222427368165
Qwen-2.5-1.5B,123,280,0.44120097160339355
Qwen-2.5-1.5B,123,290,0.4256608486175537
Qwen-2.5-1.5B,123,300,0.41356768608093264
Qwen-2.5-1.5B,123,310,0.4896368503570557
Qwen-2.5-1.5B,999,10,3.0119380950927734
Qwen-2.5-1.5B,999,20,1.955510711669922
Qwen-2.5-1.5B,999,30,1.3108335494995118
Qwen-2.5-1.5B,999,40,1.0612833023071289
Qwen-2.5-1.5B,999,50,0.8767489433288574
Qwen-2.5-1.5B,999,60,0.8095846176147461
Qwen-2.5-1.5B,999,70,0.6925929546356201
Qwen-2.5-1.5B,999,80,0.6856969833374024
Qwen-2.5-1.5B,999,90,0.6418022155761719
Qwen-2.5-1.5B,999,100,0.627128267288208
Qwen-2.5-1.5B,999,110,0.6727005958557128
Qwen-2.5-1.5B,999,120,0.5706879615783691
Qwen-2.5-1.5B,999,130,0.5287388324737549
Qwen-2.5-1.5B,999,140,0.6263778686523438
Qwen-2.5-1.5B,999,150,0.5432847023010254
Qwen-2.5-1.5B,999,160,0.5360876083374023
Qwen-2.5-1.5B,999,170,0.5428905487060547
Qwen-2.5-1.5B,999,180,0.5030330181121826
Qwen-2.5-1.5B,999,190,0.45339202880859375
Qwen-2.5-1.5B,999,200,0.453534460067749
Qwen-2.5-1.5B,999,210,0.49846205711364744
Qwen-2.5-1.5B,999,220,0.4534107208251953
Qwen-2.5-1.5B,999,230,0.44896903038024905
Qwen-2.5-1.5B,999,240,0.47609901428222656
Qwen-2.5-1.5B,999,250,0.45725259780883787
Qwen-2.5-1.5B,999,260,0.41878547668457033
Qwen-2.5-1.5B,999,270,0.46725172996520997
Qwen-2.5-1.5B,999,280,0.4658965587615967
Qwen-2.5-1.5B,999,290,0.4417107582092285
Qwen-2.5-1.5B,999,300,0.40656280517578125
Qwen-2.5-1.5B,999,310,0.43752150535583495
SmolLM2-360M,42,10,3.143492889404297
SmolLM2-360M,42,20,2.882259559631348
SmolLM2-360M,42,30,2.5119251251220702
SmolLM2-360M,42,40,2.106211853027344
SmolLM2-360M,42,50,1.6395261764526368
SmolLM2-360M,42,60,1.3318516731262207
SmolLM2-360M,42,70,1.212061595916748
SmolLM2-360M,42,80,1.1964194297790527
SmolLM2-360M,42,90,1.0468452453613282
SmolLM2-360M,42,100,1.0163664817810059
SmolLM2-360M,42,110,0.9619681358337402
SmolLM2-360M,42,120,0.9203747749328614
SmolLM2-360M,42,130,0.898834228515625
SmolLM2-360M,42,140,0.8216170310974121
SmolLM2-360M,42,150,0.7993221282958984
SmolLM2-360M,42,160,0.775322437286377
SmolLM2-360M,42,170,0.8119614601135254
SmolLM2-360M,42,180,0.802894401550293
SmolLM2-360M,42,190,0.7473631381988526
SmolLM2-360M,42,200,0.7056639194488525
SmolLM2-360M,42,210,0.7486037254333496
SmolLM2-360M,42,220,0.7146970272064209
SmolLM2-360M,42,230,0.7091784477233887
SmolLM2-360M,42,240,0.7375262260437012
SmolLM2-360M,42,250,0.7062529563903809
SmolLM2-360M,42,260,0.7362346172332763
SmolLM2-360M,42,270,0.747336483001709
SmolLM2-360M,42,280,0.7101075172424316
SmolLM2-360M,42,290,0.7408593177795411
SmolLM2-360M,42,300,0.7215288162231446
SmolLM2-360M,42,310,0.7649580001831054
SmolLM2-360M,123,10,3.147491455078125
SmolLM2-360M,123,20,2.8885421752929688
SmolLM2-360M,123,30,2.5018194198608397
SmolLM2-360M,123,40,2.065857696533203
SmolLM2-360M,123,50,1.5924805641174316
SmolLM2-360M,123,60,1.3524011611938476
SmolLM2-360M,123,70,1.2012070655822753
SmolLM2-360M,123,80,1.1204020500183105
SmolLM2-360M,123,90,1.1025652885437012
SmolLM2-360M,123,100,1.024498748779297
SmolLM2-360M,123,110,0.9553645133972168
SmolLM2-360M,123,120,0.9014604568481446
SmolLM2-360M,123,130,0.905454158782959
SmolLM2-360M,123,140,0.8758913993835449
SmolLM2-360M,123,150,0.7807759284973145
SmolLM2-360M,123,160,0.7867319107055664
SmolLM2-360M,123,170,0.7996699810028076
SmolLM2-360M,123,180,0.7884681701660157
SmolLM2-360M,123,190,0.810420036315918
SmolLM2-360M,123,200,0.8000831604003906
SmolLM2-360M,123,210,0.7374606609344483
SmolLM2-360M,123,220,0.7266995429992675
SmolLM2-360M,123,230,0.7843605995178222
SmolLM2-360M,123,240,0.7200783729553223
SmolLM2-360M,123,250,0.7366355419158935
SmolLM2-360M,123,260,0.7451283454895019
SmolLM2-360M,123,270,0.7161566734313964
SmolLM2-360M,123,280,0.6973600387573242
SmolLM2-360M,123,290,0.6914900302886963
SmolLM2-360M,123,300,0.693196964263916
SmolLM2-360M,123,310,0.7477477550506592
SmolLM2-360M,999,10,3.180208206176758
SmolLM2-360M,999,20,2.8498903274536134
SmolLM2-360M,999,30,2.545648193359375
SmolLM2-360M,999,40,2.0863290786743165
SmolLM2-360M,999,50,1.6178279876708985
SmolLM2-360M,999,60,1.3478779792785645
SmolLM2-360M,999,70,1.1916792869567872
SmolLM2-360M,999,80,1.128432559967041
SmolLM2-360M,999,90,1.0765276908874513
SmolLM2-360M,999,100,1.0145341873168945
SmolLM2-360M,999,110,1.0166139602661133
SmolLM2-360M,999,120,0.9367271423339844
SmolLM2-360M,999,130,0.8624835014343262
SmolLM2-360M,999,140,0.9081907272338867
SmolLM2-360M,999,150,0.8386764526367188
SmolLM2-360M,999,160,0.8254646301269531
SmolLM2-360M,999,170,0.801578426361084
SmolLM2-360M,999,180,0.780489730834961
SmolLM2-360M,999,190,0.7250022411346435
SmolLM2-360M,999,200,0.725311279296875
SmolLM2-360M,999,210,0.7659255504608155
SmolLM2-360M,999,220,0.7344483852386474
SmolLM2-360M,999,230,0.7194323062896728
SmolLM2-360M,999,240,0.7388475894927978
SmolLM2-360M,999,250,0.7235071182250976
SmolLM2-360M,999,260,0.7059505462646485
SmolLM2-360M,999,270,0.7354307651519776
SmolLM2-360M,999,280,0.7161114692687989
SmolLM2-360M,999,290,0.7029668807983398
SmolLM2-360M,999,300,0.6801553249359131
SmolLM2-360M,999,310,0.7122450828552246
TinyLlama-1.1B,42,10,2.509444999694824
TinyLlama-1.1B,42,20,1.5061139106750487
TinyLlama-1.1B,42,30,0.983056640625
TinyLlama-1.1B,42,40,0.7831905841827392
TinyLlama-1.1B,42,50,0.6456538200378418
TinyLlama-1.1B,42,60,0.584407377243042
TinyLlama-1.1B,42,70,0.549616813659668
TinyLlama-1.1B,42,80,0.578693962097168
TinyLlama-1.1B,42,90,0.46454334259033203
TinyLlama-1.1B,42,100,0.4550283432006836
TinyLlama-1.1B,42,110,0.44112334251403806
TinyLlama-1.1B,42,120,0.4295963764190674
TinyLlama-1.1B,42,130,0.4260426998138428
TinyLlama-1.1B,42,140,0.39705305099487304
TinyLlama-1.1B,42,150,0.38501362800598143
TinyLlama-1.1B,42,160,0.376738166809082
TinyLlama-1.1B,42,170,0.4117436408996582
TinyLlama-1.1B,42,180,0.4094225883483887
TinyLlama-1.1B,42,190,0.37326912879943847
TinyLlama-1.1B,42,200,0.3324498414993286
TinyLlama-1.1B,42,210,0.3656498193740845
TinyLlama-1.1B,42,220,0.34737792015075686
TinyLlama-1.1B,42,230,0.32540771961212156
TinyLlama-1.1B,42,240,0.3474311828613281
TinyLlama-1.1B,42,250,0.32913496494293215
TinyLlama-1.1B,42,260,0.3648320436477661
TinyLlama-1.1B,42,270,0.38293893337249757
TinyLlama-1.1B,42,280,0.33231680393218993
TinyLlama-1.1B,42,290,0.3515306949615479
TinyLlama-1.1B,42,300,0.34971091747283933
TinyLlama-1.1B,42,310,0.36431987285614015
TinyLlama-1.1B,123,10,2.5260698318481447
TinyLlama-1.1B,123,20,1.5319164276123047
TinyLlama-1.1B,123,30,0.9281108856201172
TinyLlama-1.1B,123,40,0.7606382369995117
TinyLlama-1.1B,123,50,0.5926329612731933
TinyLlama-1.1B,123,60,0.6155217170715332
TinyLlama-1.1B,123,70,0.5516764640808105
TinyLlama-1.1B,123,80,0.5020122051239013
TinyLlama-1.1B,123,90,0.5212932586669922
TinyLlama-1.1B,123,100,0.4793509006500244
TinyLlama-1.1B,123,110,0.43403067588806155
TinyLlama-1.1B,123,120,0.41714186668395997
TinyLlama-1.1B,123,130,0.4466587543487549
TinyLlama-1.1B,123,140,0.4286856174468994
TinyLlama-1.1B,123,150,0.3726602077484131
TinyLlama-1.1B,123,160,0.3854501485824585
TinyLlama-1.1B,123,170,0.40702109336853026
TinyLlama-1.1B,123,180,0.3966373443603516
TinyLlama-1.1B,123,190,0.4178774356842041
TinyLlama-1.1B,123,200,0.41326417922973635
TinyLlama-1.1B,123,210,0.3502095937728882
TinyLlama-1.1B,123,220,0.3510461330413818
TinyLlama-1.1B,123,230,0.39730722904205323
TinyLlama-1.1B,123,240,0.3352394104003906
TinyLlama-1.1B,123,250,0.35037405490875245
TinyLlama-1.1B,123,260,0.36342644691467285
TinyLlama-1.1B,123,270,0.32514452934265137
TinyLlama-1.1B,123,280,0.3272371292114258
TinyLlama-1.1B,123,290,0.31578199863433837
TinyLlama-1.1B,123,300,0.302661395072937
TinyLlama-1.1B,123,310,0.3565115213394165
TinyLlama-1.1B,999,10,2.526811408996582
TinyLlama-1.1B,999,20,1.4955358505249023
TinyLlama-1.1B,999,30,0.9472925186157226
TinyLlama-1.1B,999,40,0.7371906757354736
TinyLlama-1.1B,999,50,0.6129061698913574
TinyLlama-1.1B,999,60,0.5975526809692383
TinyLlama-1.1B,999,70,0.5335577011108399
TinyLlama-1.1B,999,80,0.524156904220581
TinyLlama-1.1B,999,90,0.492280912399292
TinyLlama-1.1B,999,100,0.474560546875
TinyLlama-1.1B,999,110,0.5032232284545899
TinyLlama-1.1B,999,120,0.45157451629638673
TinyLlama-1.1B,999,130,0.4025726795196533
TinyLlama-1.1B,999,140,0.4577630043029785
TinyLlama-1.1B,999,150,0.41941032409667967
TinyLlama-1.1B,999,160,0.4088309288024902
TinyLlama-1.1B,999,170,0.4013040065765381
TinyLlama-1.1B,999,180,0.38451831340789794
TinyLlama-1.1B,999,190,0.3474353551864624
TinyLlama-1.1B,999,200,0.3486228704452515
TinyLlama-1.1B,999,210,0.3798779010772705
TinyLlama-1.1B,999,220,0.3406355857849121
TinyLlama-1.1B,999,230,0.3382603883743286
TinyLlama-1.1B,999,240,0.3636008262634277
TinyLlama-1.1B,999,250,0.341176700592041
TinyLlama-1.1B,999,260,0.31832003593444824
TinyLlama-1.1B,999,270,0.3591225862503052
TinyLlama-1.1B,999,280,0.35052449703216554
TinyLlama-1.1B,999,290,0.33240609169006347
TinyLlama-1.1B,999,300,0.31016714572906495
TinyLlama-1.1B,999,310,0.3315403699874878
