ID;Kaynak;İcerik;Kategori
1;Madde 17;Belirsiz süreli iş sözleşmelerinin feshinden önce durumun diğer tarafa bildirilmesi gerekir. Bildirim şartına uymayan taraf, ihbar tazminatı öder.;Kıdem ve İhbar Tazminatı
2;Madde 24;"İşçinin haklı nedenle derhal fesih hakkı; sağlık sebepleri, ahlak ve iyiniyet kurallarına aykırılık hallerinde doğar.";Kıdem ve İhbar Tazminatı
3;Madde 25;"İşverenin haklı nedenle derhal fesih hakkı; işçinin hırsızlık, devamsızlık veya iş güvenliğini tehlikeye düşürmesi hallerinde doğar.";Kıdem ve İhbar Tazminatı
4;Madde 32;Ücret kural olarak Türk parası ile ödenir. Ücret alacaklarında zamanaşımı süresi beş yıldır.;Ücret, Fazla Mesai ve Yan Haklar
5;Madde 26;Derhal fesih hakkını kullanma süresi (6 iş günü).;Kıdem ve İhbar Tazminatı
6;Madde 18;"Otuz veya daha fazla işçi çalıştıran işyerlerinde en az altı aylık kıdemi
 olan işçinin belirsiz süreli iş sözleşmesini fesheden işveren, işçinin yeterliliğinden veya
 davranışlarından ya da işletmenin, işyerinin veya işin gereklerinden kaynaklanan geçerli bir
 sebebe dayanmak zorundadır. (Ek cümle: 10/9/2014-6552/2 md.) Yer altı işlerinde çalışan
 işçilerde kıdem şartı aranmaz.";İşe İade ve İş Güvencesi
7;Madde 21;şverence geçerli sebep gösterilmediği veya gösterilen sebebin geçerli olmadığı mahkemece veya özel hakem tarafından tespit edilerek feshin geçersizliğine karar verildiğinde, işveren, işçiyi bir ay içinde işe başlatmak zorundadır. İşçiyi başvurusu üzerine işveren bir ay içinde işe başlatmaz ise, işçiye en az dört aylık ve en çok sekiz aylık ücreti tutarında tazminat ödemekle yükümlü olur. Mahkeme veya özel hakem feshin geçersizliğine karar verdiğinde, işçinin işe başlatılmaması halinde ödenecek tazminat miktarını da belirler. Kararın kesinleşmesine kadar çalıştırılmadığı süre için işçiye en çok dört aya kadar doğmuş bulunan ücret ve diğer hakları ödenir.;İşe İade ve İş Güvencesi
8;Madde 34;Ücreti ödeme gününden itibaren yirmi gün içinde mücbir bir neden dışında ödenmeyen işçi, iş görme borcunu yerine getirmekten kaçınabilir. Bu nedenle kişisel kararlarına dayanarak iş görme borcunu yerine getirmemeleri sayısal olarak toplu bir nitelik kazansa dahi grev olarak nitelendirilemez. Gününde ödenmeyen ücretler için mevduata uygulanan en yüksek faiz oranı uygulanır. Bu işçilerin bu nedenle iş akitleri çalışmadıkları için feshedilemez ve yerine yeni işçi alınamaz, bu işler başkalarına yaptırılamaz.;Ücret, Fazla Mesai ve Yan Haklar
9;Madde 41;Ülkenin genel yararları yahut işin niteliği veya üretimin artırılması gibi nedenlerle fazla çalışma yapılabilir. Fazla çalışma, Kanunda yazılı koşullar çerçevesinde, haftalık kırkbeş saati aşan çalışmalardır. 63 üncü madde hükmüne göre denkleştirme esasının uygulandığı hallerde, işçinin haftalık ortalama çalışma süresi, normal haftalık iş süresini aşmamak koşulu ile, bazı haftalarda toplam kırkbeş saati aşsa dahi bu çalışmalar fazla çalışma sayılmaz. Her bir saat fazla çalışma için verilecek ücret normal çalışma ücretinin saat başına düşen miktarının yüzde elli yükseltilmesi suretiyle ödenir. Haftalık çalışma süresinin sözleşmelerle kırkbeş saatin altında belirlendiği durumlarda yukarıda belirtilen esaslar dahilinde uygulanan ortalama haftalık çalışma süresini aşan ve kırkbeş saate kadar yapılan çalışmalar fazla sürelerle çalışmalardır. Fazla sürelerle çalışmalarda, her bir saat fazla çalışma için verilecek ücret normal çalışma ücretinin saat başına düşen miktarının yüzde yirmibeş yükseltilmesiyle ödenir.;Ücret, Fazla Mesai ve Yan Haklar
10;Madde 46;Bu Kanun kapsamına giren işyerlerinde, işçilere tatil gününden önce 63 üncü maddeye göre belirlenen iş günlerinde çalışmış olmaları koşulu ile yedi günlük bir zaman dilimi içinde kesintisiz en az yirmidört saat dinlenme (hafta tatili) verilir. (Ek cümleler:10/7/2025-7553/9 md.) Ancak Kültür ve Turizm Bakanlığı tarafından turizm işletmesi belgesi verilen konaklama tesislerinde çalışan işçilerin bu fıkra kapsamında hak kazandığı hafta tatili, işçinin yazılı talebi veya onayı ile hak kazandığı günü takip eden dört gün içinde kullandırılabilir. Bu halde işçinin hak kazandığı hafta tatilinde yaptığı çalışmaların günlük normal çalışma süresi kadarlık kısmı fazla çalışmanın hesabında dikkate alınmaz. İşçi verdiği onayı otuz gün önceden işverene yazılı olarak bildirimde bulunmak kaydıyla geri alabilir.;Ücret, Fazla Mesai ve Yan Haklar
11;Madde 47;Bu Kanun kapsamına giren işyerlerinde çalışan işçilere, kanunlarda ulusal bayram ve genel tatil günü olarak kabul edilen günlerde çalışmazlarsa, bir iş karşılığı olmaksızın o günün ücretleri tam olarak, tatil yapmayarak çalışırlarsa ayrıca çalışılan her gün için bir günlük ücreti ödenir. Yüzde usulünün uygulandığı işyerlerinde işçilerin ulusal bayram ve genel tatil ücretleri işverence işçiye ödenir.;Ücret, Fazla Mesai ve Yan Haklar
12;Madde 53;İşyerinde işe başladığı günden itibaren, deneme süresi de içinde olmak üzere, en az bir yıl çalışmış olan işçilere yıllık ücretli izin verilir. Yıllık ücretli izin hakkından vazgeçilemez. Niteliklerinden ötürü bir yıldan az süren mevsimlik veya kampanya işlerinde çalışanlara bu Kanunun yıllık ücretli izinlere ilişkin hükümleri uygulanmaz;Yıllık İzin ve Dinlenme Süreleri
