ID,Kaynak,İcerik,Kategori
70,csgb/SSS,İşçi iş sözleşmesini 4857 sayılı İş Kanunu’nun 24 üncü maddesi uyarınca feshederse kıdem tazminatına hak kazanılır mı?,Kıdem ve İhbar Tazminatı
138,csgb/SSS,Mevsimlik bir işte çalışan işçinin yıllık izin hakkı var mıdır?,Yıllık İzin ve Dinlenme Süreleri
3,Madde 25,"İşverenin haklı nedenle derhal fesih hakkı; işçinin hırsızlık, devamsızlık veya iş güvenliğini tehlikeye düşürmesi hallerinde doğar.",Kıdem ve İhbar Tazminatı
94,csgb/SSS,İşçi ücretlerinin ne kadarlık tutarı bankaya yatırılmalıdır?,"Ücret, Fazla Mesai ve Yan Haklar"
136,csgb/SSS,Yıl içinde alınan mazeret izinlerini işveren yıllık izin hakkından düşebilir mi?,Yıllık İzin ve Dinlenme Süreleri
151,https://forum.donanimhaber.com/is-hukuku-ve-isci-haklarina-dair-sorularinizi-cevapliyorum--113737648,Ustanın işini yapan işçi daha fazla ücret talep edebilme hakkına sahipmidir ?,"Ücret, Fazla Mesai ve Yan Haklar"
91,csgb/SSS,İşverenin 2 ay boyunca ücret ödememesi yasal mıdır?,"Ücret, Fazla Mesai ve Yan Haklar"
115,csgb/SSS,İşyeri devredilen işçinin devirden önceki alacaklarından yeni şirket mi eski şirket mi sorumludur?,"Ücret, Fazla Mesai ve Yan Haklar"
27,Madde 24/II-b,İşverenin işçiye veya ailesine karşı şeref ve haysiyet kırıcı sözler söylemesi haklı fesih nedenidir.,Haklı Nedenle Fesih ve İstifa
146,csgb/SSS,Mahkeme işe iade kararı verirse işçinin kaç gün içerisinde işverene başvurması gerekir?,İşe İade ve İş Güvencesi
137,csgb/SSS,Hak kazanılması durumunda yıllık izin hakkı ne zaman kullanılabilir?,Yıllık İzin ve Dinlenme Süreleri
98,csgb/SSS,Ücretin ne kadarı haczedilebilir veya başkasına devir temlik edilebilir?,"Ücret, Fazla Mesai ve Yan Haklar"
66,csgb/SSS,Ücretler hangi aralıklarla ve hangi oranlarda artırılmalıdır?,"Ücret, Fazla Mesai ve Yan Haklar"
37,Madde 18/3-a,Sendika üyeliği veya çalışma saatleri dışında sendikal faaliyetlere katılmak fesih için geçerli bir sebep oluşturmaz.,İşe İade ve İş Güvencesi
127,csgb/SSS,İşverenin iş sözleşmesini derhal feshetmesini gerektirecek sağlık sebepleri nelerdir?,Haklı Nedenle Fesih ve İstifa
23,Madde 4,"Aşağıda belirtilen işlerde ve iş ilişkilerinde bu Kanun hükümleri uygulanmaz; a) Deniz ve hava taşıma işlerinde, b) 50'den az işçi çalıştırılan (50 dahil) tarım ve orman işlerinin yapıldığı işyerlerinde veya işletmelerinde, c) Aile ekonomisi sınırları içinde kalan tarımla ilgili her çeşit yapı işleri, d) Bir ailenin üyeleri ve 3 üncü dereceye kadar (3 üncü derece dahil) hısımları arasında dışardan başka biri katılmayarak evlerde ve el sanatlarının yapıldığı işlerde, e) Ev hizmetlerinde, f) (…)4 çıraklar hakkında, g) Sporcular hakkında",Genel Bilgilendirme ve Diğer
102,csgb/SSS,"Genel çalışma süresinin 45 saat olarak belirlendiği bir işyerinde, haftada 44 saat çalışma yaptıran işveren fazla çalışma ücreti ödemeli midir?","Ücret, Fazla Mesai ve Yan Haklar"
161,https://forum.donanimhaber.com/is-hukuku-ve-isci-haklarina-dair-sorularinizi-cevapliyorum--113737648,"Ben bir firmada 11 yıldır çalışıyorum
 başka bir iş buldum , istifa ettiğim zaman hiç hak talep edemiyorum dimi ?",Haklı Nedenle Fesih ve İstifa
97,csgb/SSS,Ücreti zamanında ödenmediği için iş görmekten kaçınan işçinin iş sözleşmesi feshedilir mi?,Mobbing ve Çalışma Koşulları
12,Madde 53,"İşyerinde işe başladığı günden itibaren, deneme süresi de içinde olmak üzere, en az bir yıl çalışmış olan işçilere yıllık ücretli izin verilir. Yıllık ücretli izin hakkından vazgeçilemez. Niteliklerinden ötürü bir yıldan az süren mevsimlik veya kampanya işlerinde çalışanlara bu Kanunun yıllık ücretli izinlere ilişkin hükümleri uygulanmaz",Yıllık İzin ve Dinlenme Süreleri
68,csgb/SSS,İşyerinde çırak olarak çalışan bir kişi işten ayrılması durumunda kıdem tazminatı alabilir mi?,Kıdem ve İhbar Tazminatı
133,csgb/SSS,Ara dinlenmesi süresi ne kadar olmalıdır?,Yıllık İzin ve Dinlenme Süreleri
7,Madde 21,"şverence geçerli sebep gösterilmediği veya gösterilen sebebin geçerli olmadığı mahkemece veya özel hakem tarafından tespit edilerek feshin geçersizliğine karar verildiğinde, işveren, işçiyi bir ay içinde işe başlatmak zorundadır. İşçiyi başvurusu üzerine işveren bir ay içinde işe başlatmaz ise, işçiye en az dört aylık ve en çok sekiz aylık ücreti tutarında tazminat ödemekle yükümlü olur. Mahkeme veya özel hakem feshin geçersizliğine karar verdiğinde, işçinin işe başlatılmaması halinde ödenecek tazminat miktarını da belirler. Kararın kesinleşmesine kadar çalıştırılmadığı süre için işçiye en çok dört aya kadar doğmuş bulunan ücret ve diğer hakları ödenir.",İşe İade ve İş Güvencesi
28,Madde 24/II-e,İşçinin ücreti kanun veya sözleşme şartlarına uygun hesaplanmaz veya ödenmezse işçi haklı nedenle istifa edebilir.,Haklı Nedenle Fesih ve İstifa
79,csgb/SSS,"10.000 TL net ücret alan bir çalışanın, kıdem tazminatına esas ücreti ne kadardır?",Kıdem ve İhbar Tazminatı
